size,cut_out,manufacturer,model_no,link,resistance,rms_power,sensitivity,x_max,fs,vas,qts,sealed_volume,sealed_f3,vented_volume,vented_f3,low_frequency_limit,high_frequency_limit
3.5,3.3,Vifa,TC9FD-18-08,264-1062,8,30,83.5,2.55,125,0.04,0.89,0.1,122,0.2,72,100,20000
3.5,3.31,Vifa,TG9FD-10-04,264-1064,4,5,84,2.6,113,0.05,0.83,0.143,114,0.21,66,110,10000
2,2.09,Vifa,TC6FC00-04,264-1124,4,15,82.9,1,181,0.01,0.8,0.03,187,0.04,106,150,20000
2,1.97,Vifa,TC6FD00-04,264-1126,4,15,81.5,1,175,0.008,0.98,0.02,165,0.05,100,150,20000
4,4.37,Vifa,NE123W-08,264-1128,8,90,86.2,3.1,61,0.21,0.35,0.05,141,0.1,84,60,8000
5.25,4.92,Vifa,NE149W-08,264-1132,8,60,86,5,54,0.3,0.38,0.09,113,0.2,63,50,5000
6.5,6.18,Vifa,NE180W-08,264-1134,8,80,87.4,5,42,0.8,0.39,0.24,86,0.58,47,40,4000
8,7.8,Vifa,NE225W-08,264-1138,8,160,87.5,7.7,32,1.77,0.33,0.34,78,0.72,36,20,2000
10,9.25,Vifa,NE265W-08,264-1140,8,190,84,9.35,23,3.43,0.3,0.55,61,1.08,38,20,20000
12,11.33,Vifa,NE315W-08,264-1142,8,190,85.4,9.35,20,5.7,0.35,1.3,45,2.86,27,20,1000
2.5,2.56,Vifa,TC7FD00-04,264-1144,4,20,82.4,1,143,0.02,0.92,0.05,138,0.1,82,130,20000
6.5,6.46,Peerless,SDS-160F25PR01-08,264-1146,8,60,87,6.05,42,1.04,0.49,0.58,69,1.58,33,35,20000
2,2.04,Tang Band,W2-803SM,264-805,4,8,85,1,160,0.008,0.4,0.01,314,0.01,168,160,20000
2,2.04,Tang Band,W2-800SL,264-807,4,10,87,1,160,0.008,0.25,0.01,516,0.01,334,160,20000
2,2.04,Tang Band,W2-852SH,264-808,4,8,86,1,160,0.008,0.29,0.01,431,0.01,272,160,20000
3,2.8,Tang Band,W3-593SF,264-809,8,12,86,0.5,110,0.09,0.58,0.09,153,0.19,75,110,20000
3,2.98,Tang Band,W3-315E,264-811,8,10,87,1.25,100,0.06,0.52,0.04,154,0.1,74,100,20000
3,2.95,Tang Band,W3-881SJ,264-812,8,15,86,0.5,100,0.078,0.63,0.11,126,0.18,64,100,20000
3,3.05,Tang Band,W3-926SD,264-815,8,12,87,0.75,110,0.07,0.46,0.03,192,0.09,96,110,20000
3,1.87 x 3.41,Tang Band,W23-1287SI,264-830,4,12,88,0.9,150,0.03,0.6,0.04,201,0.07,100,150,20000
3,2.97,Tang Band,W3-1335SB,264-842,8,15,86,0.5,100,0.04,0.34,0.01,235,0.02,140,100,20000
3,3,Tang Band,W3-1364SA,264-844,8,12,86,0.5,105,0.07,0.59,0.08,143,0.15,71,105,20000
4,3.7,Tang Band,W4-1320SJ,264-847,8,25,89,3,75,0.21,0.35,0.05,169,0.11,98,75,20000
2,2.04,Tang Band,W2-748SG,264-861,8,10,86,0.75,160,0.008,0.26,0.01,503,0.01,324,160,20000
4,3.75,Tang Band,W4-1720,264-872,4,30,86,5,60,0.21,0.42,0.08,114,0.19,60,60,8000
2,2.08,Tang Band,W2-1625SA,264-875,8,20,80,2,90,0.01,0.31,0.01,236,0.01,148,90,500
3,3.071,Tang Band,W3-1750S,264-877,8,25,84,1.75,65,0.06,0.32,0.01,162,0.03,100,65,800
3,3,Tang Band,W3-1053SC,264-880,8,15,85,1.5,100,0.04,0.62,0.06,128,0.1,65,100,18000
2,2.05,Tang Band,W2-1803S,264-885,6,3,82,0.7,155,0.01,0.7,0.03,175,0.03,95,155,20000
